instance sat family size vbbjdpd ttvbbjdpd32j ttvbbjdpd32g
si2-r005-m600.05 1 7 600 1452407 133479 135481
si2-r005-m600.02 1 7 600 337038 95079 70055
si2-r005-m600.08 1 7 600 73800 9635 11586
si2-r005-m600.07 1 7 600 10790 23273 17565
si4-r01-m600.05 1 7 600 62298 40163 39114
si4-r01-m600.02 1 7 600 64315 46111 75883
si4-r01-m600.03 1 7 600 239710 101901 102858
si4-r01-m600.07 1 7 600 481802 377691 266376
si4-r01-m600.08 1 7 600 387197 187189 201108
si4-r01-m600.06 1 7 600 165848 82426 89919
si4-r01-m600.01 1 7 600 1076392 428203 386252
si4-r01-m600.04 1 7 600 343388 196671 194369
si4-r01-m600.00 1 7 600 750431 193534 199885
si4-r01-m600.09 1 7 600 247343 207261 96274
si2-b09-m400.04 1 3 400 107 26 27
si2-b09-m400.08 1 3 400 103 27 29
si2-b09-m400.05 1 3 400 102 30 27
si2-b09-m400.01 1 3 400 104 27 29
si2-b09-m400.03 1 3 400 103 26 28
si2-b09-m400.02 1 3 400 103 34 31
si2-b09-m400.07 1 3 400 121 30 30
si2-b09-m400.09 1 3 400 102 28 30
si2-b09-m400.06 1 3 400 104 26 30
si2-b09-m400.00 1 3 400 102 27 29
