instance sat family size vbbjdpd ttvbbjdpd32j ttvbbjdpd32g
meshes-CVIU11-6-314 0 10 5183 24444 2096 2083
meshes-CVIU11-6-325 0 10 284 28 17 15
meshes-CVIU11-6-338 0 10 279 11 11 9
meshes-CVIU11-6-345 0 10 678 121 50 47
meshes-CVIU11-6-400 0 10 1409 1534 279 276
meshes-CVIU11-6-438 0 10 3222 4634 639 596
meshes-CVIU11-6-443 0 10 2440 1502 296 236
meshes-CVIU11-6-485 0 10 857 163 59 55
meshes-CVIU11-6-498 0 10 428 41 17 19
meshes-CVIU11-6-523 0 10 472 34 14 14
meshes-CVIU11-6-528 0 10 5039 14383 1258 1284
meshes-CVIU11-6-56 0 10 719 357 89 88
meshes-CVIU11-6-58 0 10 400 40 17 16
meshes-CVIU11-6-65 0 10 5111 21535 1834 1810
meshes-CVIU11-6-68 0 10 4326 16903 1647 1791
meshes-CVIU11-6-77 0 10 2241 1738 323 365
meshes-CVIU11-6-81 0 10 877 375 97 92
PR15-1 1 9 4838 745 759 844
PR15-2 1 9 4838 6346 3020 2937
PR15-3 1 9 4838 9127 1594 1692
PR15-4 1 9 4838 672 1166 1307
PR15-5 1 9 4838 1661 883 963
PR15-6 1 9 4838 4676 1163 1244
PR15-7 1 9 4838 4538 1117 1220
PR15-8 1 9 4838 1661 1413 1195
PR15-9 1 9 4838 3062 1337 1551
PR15-10 1 9 4838 1683 1341 1457
PR15-11 1 9 4838 3654 1371 1641
PR15-12 1 9 4838 3141 1305 1471
PR15-13 1 9 4838 2929 980 1117
PR15-14 1 9 4838 3276 1019 1117
PR15-15 1 9 4838 12707 1915 1994
PR15-16 1 9 4838 1165 1133 1161
PR15-17 1 9 4838 9175 2253 2283
PR15-18 1 9 4838 6630 1723 1422
PR15-19 1 9 4838 1660 1289 1481
PR15-20 1 9 4838 2182 1268 1208
PR15-21 1 9 4838 1657 884 990
PR15-22 1 9 4838 2710 1600 1383
PR15-23 1 9 4838 1655 1031 1080
PR15-24 1 9 4838 730 759 844
