instance family sat sequential no-backjumping no-all-diff no-supplementals full-all-diff threaded
si2_b03m_m200.08 4 1 41 41 41 41 41 41
si2_b03m_m200.06 4 1 41 41 41 41 41 41
si2_b03m_m200.02 4 1 41 41 41 42 41 41
si2_b03m_m200.09 4 1 41 41 41 41 41 41
si2_b03m_m200.04 4 1 41 41 41 56 41 41
si2_b03m_m200.01 4 1 41 41 41 46 41 41
si2_b03m_m200.07 4 1 41 41 41 41 41 41
si4_r001_m200.04 7 1 81 81 81 10126 81 82
si4_r001_m200.07 7 1 86 86 90 1119 82 89
si4_r001_m200.00 7 1 81 81 81 6483 81 81
si4_r001_m200.01 7 1 81 81 81 174 81 82
si4_r001_m200.03 7 1 87 87 91 1111963 87 87
si4_r001_m200.06 7 1 81 81 81 240 81 85
si4_r001_m200.05 7 1 81 81 81 241 81 81
si4_r001_m200.08 7 1 87 87 90 402 87 89
si4_r001_m200.09 7 1 367 391 436 317083 332 374
si4_r001_m200.02 7 1 122 122 130 15143 115 127
si2_m4D_m256.08 5 1 692 692 1006 1781 620 422
si2_m4D_m256.03 5 1 60 60 56 70 64 67
si2_m4D_m256.02 5 1 233 233 424 758 116 266
