instance sat lad vbbjdpd vbbjdpdnosup vb ttvbbjdpd32g vf2 snd
si6_m4Dr2_m1296.08 1 431.934000 1451 170 1446 186 8 182406.000
si6_m4Dr2_m1296.02 1 335.948000 1208 196 1225 191 9 276321.000
si2_b09m_m800.09 1 74.988000 182 27 278 39 1 18075.000
si2_b09m_m800.07 1 74.988000 357 16 397 50 1 22291.000
si2_b09m_m800.00 1 67.989000 211 17 187 38 1 17298.000
si2_b09m_m800.04 1 67.989000 298 16 305 52 1 17793.000
si2_b09m_m800.02 1 73.988000 430 26 418 50 1 18477.000
si2_b09m_m800.05 1 102.984000 209 17 189 37 1 18313.000
si2_b09m_m800.03 1 523.920000 237 34 211 39 1 20377.000
si2_b09m_m800.08 1 104.984000 459 26 282 46 1 20058.000
si2_b09m_m800.06 1 451.931000 233 18 341 37 1 18572.000
si2_b09m_m800.01 1 146.977000 216 18 199 40 1 19609.000
si4_b03_m400.01 1 419.936000 37 8 33 74 0 2963.000
si4_b03_m400.02 1 248.962000 38 8 58 72 0 2536.000
si4_b03_m400.05 1 362.944000 37 7 33 67 0 2732.000
si4_b03_m400.07 1 377.942000 44 8 58 68 0 2725.000
si4_b03_m400.06 1 330.949000 38 7 59 73 0 3307.000
si4_b03_m400.00 1 439.933000 37 8 33 73 0 2668.000
si4_b03_m400.03 1 443.932000 48 6 60 67 0 2946.000
si4_b03_m400.04 1 253.961000 59 12 62 73 0 3288.000
si4_b03_m400.09 1 233.964000 50 7 61 71 0 3203.000
si4_b03_m400.08 1 243.962000 39 6 33 76 0 2631.000
si2_b03_m200.05 1 29.995000 5 1 8 11 0 466.000
si2_b03_m200.09 1 15.997000 5 1 8 11 0 497.000
si2_b03_m200.07 1 16.997000 5 1 4 11 0 494.000
si2_b03_m200.01 1 18.997000 9 1 4 10 0 667.000
si2_b03_m200.08 1 26.995000 5 1 5 13 0 506.000
si2_b03_m200.02 1 17.997000 5 1 9 11 0 493.000
si2_b03_m200.04 1 16.997000 5 1 5 11 0 494.000
si2_b03_m200.03 1 15.997000 5 1 8 12 0 518.000
si2_b03_m200.06 1 29.995000 5 1 5 11 0 535.000
si2_b03_m200.00 1 29.995000 6 1 9 12 0 534.000
si4_r005_m600.00 1 4083973.141000 25908 13962 15399 12703 100000000 132539.000
si4_r005_m600.02 1 2002345.597000 7626 2066 156001 4478 100000000 3262405.000
si4_r005_m600.08 1 829986.822000 27655 15462 150222 14497 100000000 5765266.000
si4_r005_m600.05 1 50252312.487000 23797 13023 90725 14864 100000000 7743753.000
si4_r005_m600.07 1 7315558.866000 9172 3202 127279 4202 100000000 1686184.000
si4_r005_m600.06 1 9303935.586000 42391 41390 40351 15421 100000000 4169344.000
si4_r005_m600.01 1 3885846.261000 24886 14297 114614 15883 100000000 1220521.000
si4_r005_m600.04 1 2048898.520000 22183 11185 43142 14856 100000000 1376611.000
si4_r005_m600.03 1 1445877.193000 13869 6064 44743 5284 100000000 3479715.000
si4_r005_m600.09 1 3993902.834000 5729 1039 30375 2244 100000000 171167.000
si4_b09_m400.05 1 754.885000 226 19 177 76 0 6592.000
si4_b09_m400.03 1 747.886000 210 19 177 79 0 5481.000
si4_b09_m400.00 1 708.892000 208 14 178 82 0 5598.000
si4_b09_m400.07 1 787.880000 203 18 190 73 0 5463.000
si4_b09_m400.01 1 763.883000 203 19 178 79 0 5572.000
si4_b09_m400.06 1 735.888000 204 12 177 73 0 5874.000
si4_b09_m400.04 1 760.884000 203 13 178 82 0 5696.000
si4_b09_m400.02 1 803.877000 339 12 222 79 0 5533.000
si4_b09_m400.08 1 827.874000 204 12 177 77 0 5673.000
si4_b09_m400.09 1 723.889000 215 12 177 76 0 5446.000
si4_b06m_m400.06 1 19.996000 76 7 101 21 1 4507.000
si4_b06m_m400.03 1 22.996000 45 6 41 16 0 4589.000
si4_b06m_m400.01 1 20.996000 140 7 126 26 0 4432.000
si4_b06m_m400.08 1 23.996000 78 6 117 21 0 4427.000
